id,drug,routes,label_rules,structured_rules,notes_from_extraction,dailymed_url,current_status,current_reviewer,decision,reviewer,review_date,notes
piperacillin-and-tazobactam:IV,Piperacillin and tazobactam,IV,"> 40: All indications except nosocomial pneumonia: 3.375 g every 6 hours | Nosocomial pneumonia: 4.5 g every 6 hours
20-40: Not receiving hemodialysis; all indications except nosocomial pneumonia: 2.25 g every 6 hours | Not receiving hemodialysis; nosocomial pneumonia: 3.375 g every 6 hours
< 20: Not receiving hemodialysis; all indications except nosocomial pneumonia: 2.25 g every 8 hours | Not receiving hemodialysis; nosocomial pneumonia: 2.25 g every 6 hours | Hemodialysis; all indications except nosocomial pneumonia: 2.25 g plus 0.75 g after each hemodialysis session every 12 hours plus post-HD supplement | Hemodialysis; nosocomial pneumonia: 2.25 g plus 0.75 g after each hemodialysis session every 8 hours plus post-HD supplement | CAPD; all indications except nosocomial pneumonia: 2.25 g every 12 hours | CAPD; nosocomial pneumonia: 2.25 g every 8 hours","> 40 [dialysis=none, indication=other]: 3.375 g every 6 hours
> 40 [dialysis=none, indication=nosocomial-pneumonia]: 4.5 g every 6 hours
20-40 [dialysis=none, indication=other]: 2.25 g every 6 hours
20-40 [dialysis=none, indication=nosocomial-pneumonia]: 3.375 g every 6 hours
< 20 [dialysis=none, indication=other]: 2.25 g every 8 hours
< 20 [dialysis=none, indication=nosocomial-pneumonia]: 2.25 g every 6 hours
All values [dialysis=hd, indication=other]: 2.25 g plus 0.75 g after each HD session every 12 hours plus post-HD supplement
All values [dialysis=hd, indication=nosocomial-pneumonia]: 2.25 g plus 0.75 g after each HD session every 8 hours plus post-HD supplement
All values [dialysis=capd, indication=other]: 2.25 g every 12 hours
All values [dialysis=capd, indication=nosocomial-pneumonia]: 2.25 g every 8 hours",Adult IV infusion over 30 minutes; indication-specific columns retained from label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9b682c66-61c6-4ade-baf4-9d68911a16b8,verified,Dr. Tufayl (Cortex Labs),,,,
meropenem:IV,Meropenem,IV,"> 50: Adult renal table: Recommended dose every 8 hours
26-50: Adult renal table: Recommended dose every 12 hours
10-25: Adult renal table: One-half recommended dose every 12 hours
< 10: Adult renal table: One-half recommended dose every 24 hours",,Adult IV dosing adjustment; actual dose depends on infection type.,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=meropenem,verified,Dr. Tufayl (Cortex Labs),,,,
amoxicillin:ORAL,Amoxicillin,ORAL,"> 30: GFR >30 mL/min: No renal dose adjustment; avoid only if other label limits apply usual adult schedule by indication
10-30: GFR 10-30 mL/min: 250 mg or 500 mg, depending on infection severity every 12 hours
< 10: GFR <10 mL/min, not on hemodialysis: 250 mg or 500 mg, depending on infection severity every 24 hours | Hemodialysis: 250 mg or 500 mg, depending on infection severity; give an additional dose during and at the end of dialysis every 24 hours plus dialysis supplements",,Adult oral dosing; severe renal impairment table uses infection severity to choose 250 mg or 500 mg.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f9062321-ffb3-42e8-8f98-453cd30f5282,draft,,,,,
amoxicillin-clavulanate:ORAL,Amoxicillin and clavulanate potassium,ORAL,"> 30: GFR >30 mL/min: No renal dose adjustment usual adult schedule by indication
10-30: GFR 10-30 mL/min: 250/125 mg or 500/125 mg, depending on infection severity every 12 hours
< 10: GFR <10 mL/min, not on hemodialysis: 250/125 mg or 500/125 mg, depending on infection severity every 24 hours | Hemodialysis: 250/125 mg or 500/125 mg, depending on infection severity; give an additional dose during and at the end of dialysis every 24 hours plus dialysis supplements","> 30 [dialysis=none]: No renal dose adjustment usual adult schedule by indication
10-30 [dialysis=none]: 250/125 mg or 500/125 mg every 12 hours
< 10 [dialysis=none]: 250/125 mg or 500/125 mg every 24 hours
All values [dialysis=hd]: 250/125 mg or 500/125 mg plus extra doses during and after HD every 24 hours plus dialysis supplements",Immediate-release adult oral dosing; do not use 875 mg tablet when GFR is below 30 mL/min.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d25c8190-3690-4ce6-a525-21850754224d,draft,,,,,
ampicillin-sulbactam:IM+IV,Ampicillin and sulbactam,"IV, IM",">= 30: CrCl >=30 mL/min/1.73 m2: 1.5-3 g every 6 to 8 hours
15-29: CrCl 15-29 mL/min/1.73 m2: 1.5-3 g every 12 hours
5-14: CrCl 5-14 mL/min/1.73 m2: 1.5-3 g every 24 hours",,Adult parenteral dosing; table lists total ampicillin/sulbactam grams.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=155c7ec0-5862-404f-b1d0-f278f8a8bbda,draft,,,,,
cefazolin:IM+IV,Cefazolin,"IV, IM",">= 55: CrCl >=55 mL/min: Full usual dose usual adult schedule by indication
35-54: CrCl 35-54 mL/min: Full usual dose at least every 8 hours
11-34: CrCl 11-34 mL/min: One-half usual dose every 12 hours
0-10: CrCl <=10 mL/min: One-half usual dose every 18 to 24 hours",,Adult parenteral dosing after an initial loading dose appropriate to infection severity.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=db977f52-2296-4003-9162-c155163d714a,draft,,,,,
cephalexin:ORAL,Cephalexin,ORAL,">= 60: CrCl >=60 mL/min: No renal dose adjustment usual adult schedule by indication
30-59: CrCl 30-59 mL/min: No renal dose adjustment; maximum 1 g/day usual adult schedule within daily maximum
15-29: CrCl 15-29 mL/min: 250 mg every 8 to 12 hours
5-14: CrCl 5-14 mL/min, not yet on dialysis: 250 mg every 24 hours
1-4: CrCl 1-4 mL/min, not yet on dialysis: 250 mg every 48 to 60 hours",,Adult and pediatric patients at least 15 years old; hemodialysis dosing not established in the cited label.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3fed2817-fc0d-43cd-9f02-948fbc76672c,draft,,,,,
cefuroxime-axetil:ORAL,Cefuroxime axetil,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment usual adult schedule by indication
10-29: CrCl 10 to <30 mL/min: Standard individual dose every 24 hours
< 10: CrCl <10 mL/min without hemodialysis: Standard individual dose every 48 hours",">= 30 [dialysis=none]: No renal dose adjustment usual adult schedule by indication
10-29 [dialysis=none]: Standard individual dose every 24 hours
< 10 [dialysis=none]: Standard individual dose every 48 hours
All values [dialysis=hd]: Standard individual dose plus post-HD dose give after HD","Adult oral tablet dosing; use the standard individual dose for the infection, then extend interval when CrCl is below 30.",https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=76cec54f-d167-4298-951b-5411a3c47f4a,draft,,,,,
cefuroxime-injection:IM+IV,Cefuroxime,"IV, IM","> 20: CrCl >20 mL/min: 750 mg to 1.5 g every 8 hours
10-20: CrCl 10-20 mL/min: 750 mg every 12 hours
< 10: CrCl <10 mL/min, not on hemodialysis: 750 mg every 24 hours | Hemodialysis: 750 mg further dose at the end of dialysis in addition to reduced schedule","> 20 [dialysis=none]: 750 mg to 1.5 g every 8 hours
10-20 [dialysis=none]: 750 mg every 12 hours
< 10 [dialysis=none]: 750 mg every 24 hours
All values [dialysis=hd]: 750 mg further dose at the end of dialysis in addition to reduced schedule",Adult parenteral dosing; table uses degree of renal impairment and organism susceptibility.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=19902965-d2d6-433f-982d-0095014df4e8,draft,,,,,
ceftriaxone:IM+IV,Ceftriaxone,"IV, IM",All values: Renal failure without concurrent significant hepatic dysfunction: No renal dose adjustment usual adult schedule by indication,,Usual adult dosing; combined significant renal disease plus hepatic dysfunction has a label maximum of 2 g/day.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7bed9b33-29e3-4f04-9766-43a21c7ad47a,draft,,,,,
